"id","dataset_version","observation_text","age_group","setting","antecedent","behavior","consequence","consequence_present","possible_trigger","emotion_context","caregiver_response","suggested_followup_question","general_support_idea","category","risk_level","difficulty_level","ambiguity_level","split","synthetic_flag","review_status"
"473","v2","Child wanted to explain a game but struggled to find the right words.","3-5","home","Child asked to play a game.","Child became frustrated and started to stomp their feet.","Child took a deep breath and tried again with simpler words.","yes","Difficulty in expressing thoughts.","Frustrated but determined.","Caregiver encouraged them to take their time.","What else could you say to explain it better?","Practice using simple words to express thoughts.","communication frustration","low","easy","low","train","yes","draft"
"474","v2","Child noticed a toy they wanted but couldn't reach it on a high shelf.","6-8","public-store","Child saw a toy at the store.","Child began to shout for help but no one heard.","Child found a nearby adult who helped them get the toy.","yes","Desire for the toy and inability to reach it.","Excited but impatient.","Caregiver reminded them to ask politely.","How can you ask someone for help?","Role-play asking for help in different situations.","communication frustration","low","medium","medium","train","yes","draft"
"475","v2","Child wanted to talk about their favorite show during dinner.","6-8","home","Family was having a meal together.","Child interrupted everyone and spoke loudly about the show.","Child listened when the caregiver reminded them to wait their turn.","yes","Excitement about the topic.","Eager but not waiting for their turn.","Caregiver suggested taking turns sharing stories.","What other things do you want to share later?","Encourage taking turns in conversations.","communication frustration","low","medium","low","train","yes","draft"
"476","v2","Child was asked to clean up toys but didn't understand where to start.","9-12","other-public","Child was playing with friends.","Child sat down and began to cry out of frustration.","Child's friend helped explain where to put the toys.","yes","Confusion about the task at hand.","Overwhelmed.","Caregiver stepped in to give clear directions.","What part feels confusing right now?","Break down tasks into smaller steps for clarity.","communication frustration","moderate","medium","medium","train","yes","draft"
"477","v2","Child wanted to tell a story but kept getting distracted.","6-8","school-classroom","Class was about to start story time.","Child stuttered and lost track of their thoughts.","Child smiled and decided to share a shorter story instead.","yes","Distractions from classmates.","Excited but unfocused.","Caregiver suggested practicing at home.","What is the main idea of your story?","Encourage storytelling practice in calm settings.","communication frustration","low","medium","medium","train","yes","draft"
"478","v2","Child was playing outside but didn't want to come in when called.","9-12","outdoor","It was getting dark outside.","Child yelled back that they wanted to stay longer.","Child eventually agreed to come in after seeing it was dark.","yes","Desire to play more.","Defiant but playful.","Caregiver offered a special treat for coming inside.","What fun thing can we do when we get inside?","Use transitional objects to ease the change.","communication frustration","moderate","complex","medium","train","yes","draft"
"479","v2","Child wanted to show their art but was shy about it.","3-5","daycare","Friend asked to see the art.","Child hid the art behind their back and looked down.","Child felt encouraged after the teacher asked to see it.","yes","Shyness in sharing their work.","Nervous but wanting approval.","Caregiver praised their art when shown.","How can you feel more comfortable sharing?","Create a safe space for sharing talents.","communication frustration","low","easy","low","train","yes","draft"
"480","v2","Child was frustrated when a toy didn't work as expected.","6-8","home","Child was playing with a new toy.","Child threw the toy on the floor in anger.","Child picked it up and asked for help to fix it.","yes","Toy malfunctioning.","Frustrated but willing to try again.","Caregiver suggested looking at the instructions together.","What did you like about the toy?","Teach problem-solving skills when things don’t work.","communication frustration","moderate","medium","medium","train","yes","draft"
"481","v2","Child wanted to join a game but wasn't sure how to ask.","9-12","school-playground","Group of friends was playing a game.","Child stood watching and looked upset.","Child approached the group and asked if they could play.","yes","Uncertainty about joining in.","Anxious but hopeful.","Caregiver reminded them it's okay to ask to join.","How can you join a group of friends next time?","Encourage proactive social interactions.","communication frustration","low","medium","low","train","yes","draft"
"482","v2","Child had difficulty explaining a drawing to a relative.","3-5","relative-home","Relative asked about the drawing.","Child pointed to the drawing but couldn't describe it well.","Child started using gestures and words to explain.","yes","Desire to share their creation.","Frustrated but motivated to communicate.","Caregiver suggested using simple sentences.","What do you want to say about your drawing?","Encourage use of descriptive language for sharing.","communication frustration","low","easy","medium","validation","yes","draft"
"483","v2","Child wanted to express feelings about a bad day at school.","9-12","school-classroom","Group activity was happening.","Child blurted out their feelings but wasn't clear.","Child calmed down after writing their thoughts in a notebook.","yes","Frustration with school events.","Overwhelmed but relieved after writing.","Caregiver suggested journaling as a way to express feelings.","What do you think helped you feel better?","Encourage written expression of feelings.","communication frustration","moderate","medium","medium","validation","yes","draft"
"484","v2","Child wanted to explain a new game to friends.","6-8","school-playground","Friends gathered to play.","Child mixed up the rules and started to cry.","Child took a break to regroup and then tried again.","yes","Pressure to explain properly.","Nervous but focused on trying again.","Caregiver reminded them that it's okay to make mistakes.","How can you make it clearer next time?","Practice explaining rules in simple terms.","communication frustration","moderate","medium","medium","validation","yes","draft"
"485","v2","Child was upset about not winning a game.","9-12","public-restaurant","Family played a game at the table.","Child shouted out that it was unfair.","Child took a deep breath and asked how to handle losing.","yes","Disappointment in the game outcome.","Frustrated but learning to cope.","Caregiver praised their ability to ask questions.","What do you think is a fair way to play?","Discuss sportsmanship and fair play.","communication frustration","low","medium","high","test","yes","draft"
"486","v2","Child was asked to share a toy but didn't understand why.","3-5","daycare","Friends wanted to play together.","Child clutched the toy tightly and frowned.","Child slowly handed over the toy when encouraged.","yes","Confusion about sharing.","Possessive but willing to try sharing.","Caregiver acknowledged their feelings and explained sharing.","How can you ask to play with someone else’s toy?","Discuss the importance of sharing with friends.","communication frustration","low","easy","low","test","yes","draft"
"487","v2","Child was hesitant to speak in front of a group.","9-12","school-classroom","Class was having a presentation.","Child mumbled and turned red when called on.","Child kept practicing at home and spoke up later.","yes","Nervousness about public speaking.","Anxious but determined to improve.","Caregiver encouraged practice at home.","What techniques help you feel more confident?","Encourage rehearsal before speaking in groups.","communication frustration","moderate","complex","test","","yes","draft"
"488","v2","Child refused to say what was wrong during a disagreement.","6-8","school-playground","Friend asked why they were upset.","Child crossed arms and walked away silently.","Child eventually opened up to a teacher for support.","yes","Feeling hurt but not knowing how to express it.","Frustrated but seeking help.","Caregiver suggested they talk to someone they trust.","Who can you talk to when you're upset?","Encourage open discussions about feelings.","communication frustration","moderate","medium","high","test","yes","draft"
"489","v2","Child would not come to dinner when called more than once.","9-12","home","Dinner was ready and time to eat.","Child kept playing and ignored the call.","Child came in when dessert was mentioned.","yes","Desire to continue playing.","Defiant but tempted by dessert.","Caregiver offered a treat for coming in promptly.","What can make you come in faster next time?","Use incentives to encourage transitions.","communication frustration","moderate","complex","high","test","yes","draft"
"490","v2","Child wanted to describe a favorite toy but stumbled over words.","6-8","relative-home","Relative asked about the toy.","Child hesitated and seemed frustrated trying to find the words.","Child took a moment and then shared a brief description successfully.","yes","Pressure to explain clearly.","Frustrated but eventually succeeded.","Caregiver praised their effort and encouraged them to try again.","What do you love most about that toy?","Practice using descriptive words in conversation.","communication frustration","low","medium","medium","test","yes","draft"
"491","v2","Child felt overwhelmed by noise in a busy area.","6-8","public-transport","Surrounded by people talking loudly.","Child pulled their hoodie over their head and stayed quiet.","Child moved closer to the caregiver for comfort.","no","Sensory overload from the environment.","Uncomfortable but seeking safety.","Caregiver offered to find a quieter place.","What can help you feel safe in these situations?","Create a plan for noisy environments.","communication frustration","moderate","complex","low","test","yes","draft"
"492","v2","Child pushed toys away when asked to share.","3-5","daycare","Friends asked to play with their toys.","Child shouted and knocked some toys over.","Child calmed down after a timeout and returned to play nicely.","yes","Feeling possessive over their toys.","Angry but later remorseful.","Caregiver reminded them about sharing after the timeout.","What can you do when you feel that way?","Discuss sharing and taking turns in play.","communication frustration","high","complex","high","test","yes","draft"
