"id","dataset_version","observation_text","age_group","setting","antecedent","behavior","consequence","consequence_present","possible_trigger","emotion_context","caregiver_response","suggested_followup_question","general_support_idea","category","risk_level","difficulty_level","ambiguity_level","split","synthetic_flag","review_status"
"648","v2","Child became upset when parent left the room during playtime.","3-5","home","Parent left the room to answer a phone call.","Child started crying and ran to find the parent.","Child calmed down and continued playing once parent returned.","yes","Parent leaving the room","Separation from parent","Parent reassured the child that they would be back soon.","How can we help them feel more secure during these moments?","Offering comfort items during separations.","separation anxiety","low","easy","low","train","yes","draft"
"649","v2","Child hesitated to join the group at school after arrival.","6-8","school-classroom","Classmates were already playing games.","Child stood by the door and watched without joining in.","No consequence noted","no","Other children playing","Unsure about the activity","Teacher gently encouraged the child to join a friend.","What strategies can encourage them to engage?","Creating small group activities to ease participation.","separation anxiety","low","medium","low","train","yes","draft"
"650","v2","Child clung to the caregiver at a family gathering.","6-8","relative-home","Many relatives were present and socializing.","Child held onto caregiver's leg and wouldn't let go.","Caregiver picked the child up and moved to a quieter area.","yes","Large group of people","Overwhelmed by many voices","Caregiver offered a snack to distract the child.","What can we do to help them feel more comfortable in new situations?","Encouraging familiar activities in busy settings.","separation anxiety","moderate","medium","medium","train","yes","draft"
"651","v2","Child expressed reluctance to go outside after a brief rain.","9-12","outdoor","Weather changed suddenly.","Child stood at the door and refused to go out.","No consequence noted","no","Change in weather","Uncertainty about wet conditions","Parent offered to go out with the child.","What activities can we do indoors to keep them engaged?","Exploring indoor games together.","separation anxiety","low","easy","low","train","yes","draft"
"652","v2","Child became anxious waiting in line at the store.","6-8","public-store","Child saw a long line and many people.","Child started fidgeting and asked if they could leave.","Caregiver offered to play a game while waiting.","yes","Crowded environment","Feeling trapped in line","Parent suggested counting items on the shelves together.","How can we make waiting more fun for them?","Using distraction techniques during waits.","separation anxiety","moderate","medium","medium","train","yes","draft"
"653","v2","Child refused to enter the classroom for the first day.","6-8","school-classroom","New school year began.","Child stood outside the door and shook their head.","Teacher knelt down and spoke to the child, encouraging them to try.","yes","First day of school","Nervous about new environment","Teacher offered to introduce the child to a classmate.","What can we do before school starts to ease their transition?","Visiting the classroom beforehand.","separation anxiety","moderate","complex","train","","yes","draft"
"654","v2","Child wandered away from the caregiver in a crowded park.","9-12","outdoor","Family arrived at a busy park.","Child ran towards the playground without looking back.","Caregiver quickly called the child back and explained staying close.","yes","Crowded area","Excitement about the playground","Caregiver reinforced the importance of staying together.","How can we ensure their safety in busy places?","Setting clear boundaries about exploring.","separation anxiety","high","medium","medium","train","yes","draft"
"655","v2","Child was upset when a caregiver left for a short errand.","3-5","home","Caregiver prepared to leave the house.","Child cried and followed the caregiver to the door.","Child settled down with a toy after caregiver left.","yes","Caregiver leaving home","Fear of separation","Caregiver promised a quick return.","What can we do to reassure them during these times?","Using a timer to indicate return time.","separation anxiety","low","medium","low","train","yes","draft"
"656","v2","Child hesitated to join a friend at the playground.","6-8","school-playground","Friend called them over to play.","Child stood still and looked unsure.","Child eventually walked over after seeing the friend wave.","yes","Friend inviting them","Feeling uncertain about joining in","Caregiver encouraged the child to give it a try.","What can help them feel more confident in social settings?","Role-playing social interactions at home.","separation anxiety","low","medium","low","train","yes","draft"
"657","v2","Child locked themselves in the bathroom when left alone.","9-12","home","Caregiver asked the child to take a break.","Child locked the door and wouldn't come out when called.","Caregiver knocked and reassured the child that they were safe.","yes","Being left alone for a moment","Desire for control in a stressful moment","Caregiver gently opened the door to check on them.","How can we prevent such situations in the future?","Discussing feelings about being alone.","separation anxiety","high","complex","high","validation","yes","draft"
"658","v2","Child showed reluctance to leave a friend's house after playing.","6-8","relative-home","Time to go home was announced.","Child sat down and refused to move from the floor.","Caregiver offered to pick up the child and carry them out.","yes","Transition time","Not wanting to leave fun activities","Caregiver explained the next fun activity at home.","What can we do to ease transitions between activities?","Making a visual schedule of the day.","separation anxiety","moderate","medium","medium","train","yes","draft"
"659","v2","Child cried at a restaurant when the food took too long.","6-8","public-restaurant","Waiting for food to arrive.","Child started whimpering and looking around nervously.","Caregiver offered a toy to distract the child until the food arrived.","yes","Long wait time","Impatience about waiting","Caregiver reassured the child that food would be there soon.","What can we do to manage their expectations when waiting?","Bringing activities for waiting periods.","separation anxiety","low","medium","low","train","yes","draft"
"660","v2","Child clung to the caregiver during a school drop-off.","3-5","school-classroom","Arriving at school after break.","Child held tightly to the caregiver's hand and wouldn't let go.","Caregiver knelt down to assure the child it was safe to go in.","yes","Returning to school after a break","Separation anxiety at drop-off","Caregiver encouraged them to say goodbye to friends.","How can we make drop-offs smoother for them?","Practicing short separations at home.","separation anxiety","low","easy","low","train","yes","draft"
"661","v2","Child refused to walk into the public transport area.","9-12","public-transport","Transitioning from one bus to another.","Child stood at the entrance and looked around anxiously.","Caregiver guided the child and explained the process of boarding.","yes","Busy transport station","Feeling overwhelmed by crowds","Caregiver promised to stay close and count the stops together.","What can we do to help with public transport experiences?","Creating a checklist for boarding.","separation anxiety","moderate","medium","medium","train","yes","draft"
"662","v2","Child continuously asked when they could go home while playing outside.","6-8","outdoor","Family was at a picnic.","Child kept looking at the exit and asking about leaving.","Caregiver suggested playing a game to pass the time.","yes","Long stay outside","Desire for familiarity","Caregiver encouraged the child to enjoy the moment.","What can we do to help them enjoy being outside?","Bringing favorite toys for outdoor play.","separation anxiety","low","medium","low","train","yes","draft"
"663","v2","Child refused to enter the public library due to a crowd of visitors.","9-12","other-public","Arriving at a busy library event.","Child stood outside and shook their head, refusing to go in.","Caregiver offered to explore the outside area first.","yes","Crowded environment","Unsure about the situation","Caregiver prompted a discussion about what they could enjoy inside.","What strategies can we use for visits to crowded places?","Planning visits during less busy times.","separation anxiety","moderate","medium","medium","train","yes","draft"
"664","v2","Child would not leave the playground after many requests.","9-12","school-playground","Time to go home was approaching.","Child sat on the structure and ignored requests to come down.","Caregiver approached calmly and offered a countdown to leave.","yes","Transition time","Not ready to stop playing","Caregiver set a timer for five minutes before heading home.","What can we do to improve transition times?","Setting clear end times before play.","separation anxiety","high","complex","high","test","yes","draft"
"665","v2","Child expressed discomfort when family visited unexpectedly.","3-5","relative-home","Unfamiliar guests arrived.","Child hid behind a parent and peeked out occasionally.","Child gradually approached the guests after some reassurance.","yes","Unexpected visitors","Nervous about new people","Caregiver introduced the child to the guests gently.","How can we prepare them for unexpected situations?","Discussing visitors before they arrive.","separation anxiety","low","medium","low","test","yes","draft"
"666","v2","Child became anxious when separated from a caregiver at the grocery store.","6-8","public-store","Caregiver stopped to look at items on a shelf.","Child wandered off a few feet and looked back with worry.","Child quickly returned when the caregiver called them.","yes","Caregiver's distraction with shopping","Worry about being alone","Caregiver reminded the child to stay close while shopping.","What can we do to reinforce safety in stores?","Practicing staying close during trips.","separation anxiety","low","medium","low","test","yes","draft"
"667","v2","Child locked themselves in their room during a family gathering.","9-12","relative-home","Loud music and conversations were happening.","Child barricaded the door and wouldn't respond when called.","Caregiver managed to enter and talked softly to the child.","yes","Loud environment","Feeling overwhelmed by noise","Caregiver suggested a quiet space to relax together.","How can we help them cope with loud situations?","Creating a safe space in busy environments.","separation anxiety","high","complex","high","test","yes","draft"
"668","v2","Child noticed their parent leaving the room and started calling out for them loudly.","3-5","home","Parent prepared to leave for work.","Child ran to the door and grabbed their parent’s leg, refusing to let go.","Parent knelt down and reassured the child, and they both talked about plans for the day.","yes","Parent leaving the room","A sense of urgency","Parent offered to play a game later together.","How did the child respond after you reassured them?","Provide a familiar object for comfort during transitions.","separation anxiety","low","easy","medium","train","yes","draft"
"669","v2","Child was playing at daycare and saw other children being picked up by their parents.","6-8","daycare","End of the day at daycare.","Child became visibly upset and sat on the floor, refusing to join the line for pick-up.","Child eventually joined the line after a friend offered them a toy to play with.","yes","Other children leaving","Feeling left out","Caregiver encouraged them to say goodbye to friends before leaving.","Have you discussed the day's activities with the child?","Encourage saying goodbye to friends during pick-up.","separation anxiety","moderate","medium","low","train","yes","draft"
"670","v2","Child was at the playground but wouldn't leave the play structure to go home.","9-12","school-playground","Playtime ending and the caregiver called for the child.","Child climbed higher on the structure and said they wanted to stay longer.","Child came down after the caregiver counted to three and reminded them of dinner plans.","yes","End of playtime","Wanting more time to play","Caregiver provided a countdown to prepare for leaving.","What strategies can we use to signal it's time to go next time?","Use a visual timer for transitions.","separation anxiety","moderate","medium","validation","","yes","draft"
"671","v2","Child was in the store and saw a toy they wanted while the caregiver was busy with shopping.","6-8","public-store","Caregiver focused on items to purchase.","Child wandered off to look at the toy aisle without telling the caregiver.","Caregiver quickly found the child and talked about safety rules, reminding them to stay close.","no","Seeing a toy of interest","Excitement","Caregiver emphasized the importance of staying nearby.","How can we make sure the child stays close in busy places?","Practice staying together in familiar areas before shopping.","separation anxiety","high","complex","high","test","yes","draft"
"672","v2","Child was playing outside during a family gathering and started to walk away from the group.","9-12","relative-home","Lots of people and noise around.","Child began walking towards the street, seemingly unaware of surroundings.","Caregiver called out and walked quickly to intercept the child before they reached the street.","yes","Noise and activity of the gathering","Distraction from the group","Caregiver explained why they need to stay close and suggested a game to play together.","What can we do to help keep the child engaged during gatherings?","Set up a designated play area nearby.","separation anxiety","high","complex","test","","yes","draft"
