"id","dataset_version","observation_text","age_group","setting","antecedent","behavior","consequence","consequence_present","possible_trigger","emotion_context","caregiver_response","suggested_followup_question","general_support_idea","category","risk_level","difficulty_level","ambiguity_level","split","synthetic_flag","review_status"
"548","v2","Child was waiting for their turn at the playground when they jumped in front of another child.","3-5","school-playground","Waiting for a slide","Jumped in front of another child at the slide.","Child was reminded to wait and took a turn after.","yes","Excitement about the slide","Eager to play","Reinforced the importance of taking turns","How can we encourage waiting in other situations?","Use visual timers to help understand wait times.","waiting / turn-taking","low","easy","low","train","yes","draft"
"549","v2","Child was sitting at a table during snack time and took a cracker from a friend's plate.","6-8","school-classroom","Snack time started","Took a cracker from a friend's plate without asking.","Child returned the cracker and apologized.","yes","Hungry and eager to eat","Learning to share","Discussed with the child about asking before taking.","How can we help remind them to ask?","Practice sharing games to build understanding.","waiting / turn-taking","low","medium","low","train","yes","draft"
"550","v2","Child was playing with a toy in a group and began to grab it from another child.","6-8","daycare","Playing with toys together","Grabbed a toy from another child.","Child was guided to ask for a turn instead.","yes","Desire to play with the toy","Wants to play with it first","Encouraged them to ask politely for a turn.","What strategies can we use to promote sharing in play?","Role-play asking for turns during play time.","waiting / turn-taking","moderate","medium","medium","train","yes","draft"
"551","v2","Child was waiting for their turn to speak during a group activity and began to fidget.","9-12","school-classroom","Waiting to answer a question","Started to fidget and make noise while waiting.","Child was reminded to use a quiet hand signal to indicate they were ready.","yes","Impatience while waiting","Trying to get attention","Promoted the use of a hand signal for waiting.","What can help them while they wait?","Introduce a talking stick during discussions.","waiting / turn-taking","low","medium","low","train","yes","draft"
"552","v2","Child was playing a board game with friends and interrupted frequently.","9-12","relative-home","Playing a board game","Interrupted friends while they were taking turns.","Child agreed to wait for their turn after reminders.","yes","Excitement to play","Wants to be involved","Reinforced the value of waiting and listening.","How can we make the game more enjoyable for everyone?","Set a timer for each turn during games.","waiting / turn-taking","low","medium","medium","train","yes","draft"
"553","v2","Child was waiting at a restaurant for a meal and started to get restless.","3-5","public-restaurant","Long wait for food","Started to wiggle in the seat and make noise.","Child calmed down after playing a game on the menu.","yes","Boredom from waiting","Restless and impatient","Engaged the child in a wait-time activity.","What activities can we do to pass the time?","Bring small toys or games to keep busy while waiting.","waiting / turn-taking","low","easy","medium","train","yes","draft"
"554","v2","Child was waiting to play a game on the tablet and insisted on going first.","6-8","other-public","Waiting to use a shared tablet","Insisted loudly that they wanted to go first.","Child took a deep breath and agreed to wait for their turn.","yes","Excitement about the game","Determined to play first","Promoted patience and rewarded waiting with a fun game.","How can we support them in waiting for their turn?","Make a visual schedule of turn-taking.","waiting / turn-taking","moderate","medium","medium","train","yes","draft"
"555","v2","Child was at the park and ran ahead to the swings without waiting for their brother.","6-8","outdoor","Seeing the swings","Ran ahead to play on the swings.","Child was reminded to stay close and wait for their brother.","yes","Excitement about the swings","Eager to play","Emphasized the importance of staying together.","How can we reinforce staying close in busy places?","Use a buddy system where they look out for each other.","waiting / turn-taking","moderate","medium","high","train","yes","draft"
"556","v2","Child was involved in a group game and kept cutting in line.","9-12","school-playground","Playing a group game","Cut into the line during a game.","Child was asked to step back and wait their turn again.","yes","Wanting to join in quickly","Excited to play","Encouraged patience and cooperation among peers.","What can help them understand waiting?","Discuss the benefits of fairness in games.","waiting / turn-taking","moderate","complex","medium","train","yes","draft"
"557","v2","Child was playing at a friend's house and refused to share a toy during playtime.","3-5","relative-home","Toy was introduced in play","Held onto a toy and did not let friends take turns.","Child handed the toy to a friend after discussion.","yes","Desiring to play with the toy first","Protective of their toys","Encouraged them to take turns with explanations.","How can we encourage sharing in playdates?","Model sharing by taking turns with toys.","waiting / turn-taking","moderate","medium","low","train","yes","draft"
"558","v2","Child was in the store and ran ahead to the toy section.","6-8","public-store","Entering the toy aisle","Ran ahead excitedly to look at toys.","Child was called back and reminded to walk together.","yes","Excitement about the toys","In a hurry to see toys","Reinforced the need to stay close in stores.","What strategies can we use to keep them close?","Identify toy areas before shopping to plan ahead.","waiting / turn-taking","moderate","medium","high","train","yes","draft"
"559","v2","Child was at a birthday party and kept grabbing balloons from others.","6-8","other-public","Receiving balloons from a game","Kept reaching for balloons from other children.","Child was reminded to wait and ask before grabbing.","yes","Excitement about the balloons","Desire to have many balloons","Discussed sharing and waiting in party games.","How can we practice waiting in group settings?","Incorporate sharing rules into games.","waiting / turn-taking","moderate","medium","medium","train","yes","draft"
"560","v2","Child was at the playground and wanted to go down the slide first.","9-12","school-playground","Seeing friends take turns on the slide","Ran to the slide and jumped in front of a friend.","Child was reminded to wait their turn and counted to five.","yes","Impatience for fun","Excited to play","Reinforced the concept of taking turns with a countdown.","How can we make waiting fun?","Use timers or fun countdowns to wait.","waiting / turn-taking","low","medium","low","train","yes","draft"
"561","v2","Child was waiting to board the bus and stepped away from the group.","9-12","public-transport","Waiting for the bus","Stepped away to look at something interesting across the street.","Child was called back to stay with the group.","high","Curiosity about surroundings","Distracted by the environment","Discussed the importance of staying close in busy areas.","What can we do to help them stay focused?","Talk about staying safe in public places.","waiting / turn-taking","high","complex","medium","validation","yes","draft"
"562","v2","Child was at the playground and kept moving away from the play area.","9-12","outdoor","Playing with friends","Left the play area to explore alone.","Child was stopped and asked to return to safety.","high","Desire to explore","Curious about surroundings","Guided child back, discussing the importance of staying close.","How can we encourage safe exploration?","Set boundaries on where they can explore.","waiting / turn-taking","high","complex","medium","validation","yes","draft"
