"id","dataset_version","observation_text","age_group","setting","antecedent","behavior","consequence","consequence_present","possible_trigger","emotion_context","caregiver_response","suggested_followup_question","general_support_idea","category","risk_level","difficulty_level","ambiguity_level","split","synthetic_flag","review_status"
"348","v2","Child was asked to put away toys after playtime.","3-5","home","End of playtime","Child ignored the request and continued playing with blocks.","No consequence noted","no","Change in activity","Neutral","Caregiver reminded the child again.","How can we make clean-up more fun?","Consider setting a timer for transitions.","transition difficulty","low","easy","low","train","yes","draft"
"349","v2","Child was transitioning from outdoor play to snack time.","6-8","school-playground","Snack time announcement","Child hesitated and sat down on the ground, not wanting to move.","Child eventually walked to the snack area after a gentle nudge.","yes","Change in activity","Neutral","Caregiver offered a favorite snack to encourage movement.","What snack would you like next time?","Try using a signal to indicate transitions.","transition difficulty","low","medium","low","train","yes","draft"
"350","v2","Child was finished with art class and needed to go to lunch.","6-8","school-classroom","Class ended","Child started to gather supplies but then sat down and began doodling instead.","Child was reminded about lunch and quickly packed up to join classmates.","yes","Change in activity","Neutral","Caregiver encouraged the child by mentioning friends were waiting.","How can we keep the energy up during transitions?","Discuss using a checklist for transitions.","transition difficulty","low","medium","medium","train","yes","draft"
"351","v2","Child was preparing to leave the park after playtime.","9-12","other-public","Time to go home","Child refused to leave and started playing tag with friends instead.","Child joined the group for one last round of tag before leaving.","yes","Social interaction","Happy","Caregiver allowed a short extension on playtime.","What can make leaving a park easier?","Consider having a 'last game' before transitions.","transition difficulty","moderate","medium","low","train","yes","draft"
"352","v2","Child was asked to leave a friend's house after play.","3-5","relative-home","Playtime ended","Child threw the toy and said they didn’t want to go home.","Child calmed down after the caregiver suggested a story on the way home.","yes","Change in activity","Frustrated","Caregiver offered a story during the car ride.","What story will make the ride home more enjoyable?","Think about a reward for coming home smoothly.","transition difficulty","moderate","medium","medium","train","yes","draft"
"353","v2","Child struggled to move from one activity to another at daycare.","3-5","daycare","Transition to nap time","Child started crying and clung to a stuffed animal.","Staff reassured the child with comfort and settled them for nap.","yes","Change in activity","Anxiety","Caregiver offered a favorite stuffed toy for comfort.","What soothing techniques work best?","Explore a visual schedule for transitions.","transition difficulty","high","medium","high","train","yes","draft"
"354","v2","Child was asked to stop playing video games for bed.","9-12","home","Bedtime approached","Child became upset and raised their voice, refusing to stop playing.","Child agreed to stop when offered extra time on the weekend.","yes","Change in activity","Frustrated","Caregiver offered a compromise with weekend time.","How can we make bedtime smoother?","Introduce a countdown timer for transitions.","transition difficulty","moderate","medium","low","validation","yes","draft"
"355","v2","Child was asked to leave the grocery store.","6-8","public-store","Shopping completion","Child wandered down the aisle, ignoring the caregiver's call.","Child returned to the caregiver after noticing they were leaving the aisle.","yes","Change in activity","Neutral","Caregiver explained they needed to go home soon.","What strategies can help keep the child close?","Discuss using a special shopping list together.","transition difficulty","low","medium","low","train","yes","draft"
"356","v2","Child needed to come inside after playing in the yard.","6-8","home","Playtime outside","Child lay on the grass and said they were tired.","Child eventually got up and walked inside after a few minutes.","yes","Change in activity","Neutral","Caregiver suggested a snack indoors would be nice.","How can we encourage quicker transitions?","Consider a fun inside activity after outdoor play.","transition difficulty","low","medium","low","train","yes","draft"
"357","v2","Child was leaving the playground to go to a restaurant.","6-8","school-playground","Time to go","Child ran away from the caregiver towards the swings.","Child was brought back gently and reminded of the plan to eat.","yes","Social interaction","Excited","Caregiver praised the child for listening after they returned.","How can we keep them focused on the next activity?","Try using visual reminders for the day's schedule.","transition difficulty","moderate","complex","validation","","yes","draft"
"358","v2","Child was transitioning from lunch to recess at school.","9-12","school-classroom","Lunch finished","Child packed slowly, chatting with friends instead of moving out.","Child finally joined friends outside after a few reminders.","yes","Social interaction","Happy","Caregiver used a timer to signal the end of lunch.","What can keep the excitement for recess?","Make a fun countdown for transitions.","transition difficulty","low","medium","low","train","yes","draft"
"359","v2","Child needed to stop playing video games to do chores.","9-12","home","Chore time","Child shouted that they didn't want to stop.","Child took a break but complained about it while doing chores.","yes","Change in activity","Frustrated","Caregiver discussed the importance of responsibilities after gaming.","What chores can we make more fun?","Create a chore chart with rewards.","transition difficulty","moderate","medium","low","validation","yes","draft"
"360","v2","Child was asked to leave a public restaurant after dinner.","6-8","public-restaurant","Dinner finished","Child ran towards the door and hesitated to leave.","Child was reassured and walked out after seeing dessert was next.","yes","Change in activity","Excited","Caregiver mentioned dessert while leaving.","How can we handle leaving a fun place?","Discuss a small treat for leaving on time.","transition difficulty","low","medium","low","train","yes","draft"
"361","v2","Child was told it was time to transition from playing to bedtime.","3-5","home","Bedtime routine","Child threw their blanket and said no to bedtime.","Child calmed down after the caregiver read a story.","yes","Change in activity","Frustrated","Caregiver offered a book to read together.","What story will be the favorite tonight?","Try a bedtime routine chart.","transition difficulty","moderate","medium","medium","train","yes","draft"
"362","v2","Child was asked to get ready for school.","9-12","home","Morning routine","Child sat on the floor, fiddling with their backpack.","Child finally got up and started organizing their things when prompted.","yes","Change in activity","Neutral","Caregiver reminded them of the time.","How can we encourage getting ready faster?","Consider a morning checklist together.","transition difficulty","low","medium","low","train","yes","draft"
"363","v2","Child was leaving a relative's house after visiting.","6-8","relative-home","Visit ended","Child started playing with a toy and ignored the request to leave.","Child was helped to pack the toy and waved goodbye after reassurance.","yes","Change in activity","Happy","Caregiver suggested a playdate next time.","What can we do to make goodbyes easier?","Discuss planning for the next visit together.","transition difficulty","low","medium","medium","train","yes","draft"
"364","v2","Child was asked to leave the playground after a long play.","6-8","school-playground","Playtime ended","Child climbed on the jungle gym and refused to come down.","Child eventually climbed down after seeing other children leave.","yes","Change in activity","Neutral","Caregiver waited patiently at the bottom.","How can we encourage leaving after play?","Suggest a favorite game to play next time.","transition difficulty","moderate","complex","validation","","yes","draft"
"365","v2","Child was transitioning from art class to gym class.","9-12","school-classroom","Class ended","Child started packing slowly and hesitated to move to the next class.","Child picked up the pace when they heard about a fun activity in gym.","yes","Change in activity","Excited","Caregiver reminded them of the fun that awaited in gym class.","What can encourage a quicker transition?","Consider sharing what’s exciting in the next class.","transition difficulty","low","medium","low","test","yes","draft"
"366","v2","Child was moving from free play to structured group activity.","3-5","daycare","Activity change","Child began to cry and refused to join the group.","Child was comforted and settled in with the group after some time.","yes","Change in activity","Anxiety","Caregiver offered support and encouragement.","How can we help with group activities?","Introduce a familiar face to help ease transitions.","transition difficulty","high","complex","test","","yes","draft"
"367","v2","Child was supposed to leave the store with the caregiver.","9-12","public-store","Shopping completed","Child dashed away down the aisle, not paying attention.","Child was brought back after a few minutes of searching.","no","Social interaction","Worried","Caregiver looked for the child while calling their name.","What strategies can keep them close?","Consider using a hand-holding agreement while shopping.","transition difficulty","high","complex","test","","yes","draft"
"368","v2","Child became upset when asked to leave the playground and started crying loudly.","6-8","school-playground","Transition from playtime to leaving.","Child sat down on the ground and refused to move.","Child eventually got up after a few minutes and walked slowly to the car with caregiver.","yes","Change of activity","Frustration with leaving playtime","Caregiver offered a countdown to leaving.","What can we do to make transitions easier?","Using visual timers for transitions can help.","transition difficulty","low","medium","medium","train","yes","draft"
"369","v2","Child didn't want to go to a relative's house and hid behind the couch.","3-5","relative-home","Getting ready to leave home.","Child clutched a toy tightly and said they wanted to stay home.","Child relaxed after the caregiver promised to return with a treat later.","yes","Change in location","Anxiety about new environment","Caregiver suggested bringing a favorite toy along.","How can we make the visit more enjoyable?","Discussing the fun activities planned can ease anxiety.","transition difficulty","moderate","medium","low","train","yes","draft"
"370","v2","Child walked away from the caregiver in a store to look at toys without asking permission.","9-12","public-store","Entering the toy section.","Child ran toward a display, ignoring the caregiver's call.","Child returned after being reminded to stay close and help pick a toy.","yes","Curiosity about the toys","Excitement to explore","Caregiver explained the importance of staying together for safety.","What strategies can we use to keep them close while shopping?","Creating a shopping list together can keep them engaged.","transition difficulty","high","complex","medium","validation","yes","draft"
"371","v2","Child fussed when it was time to turn off the tablet and move to dinner.","6-8","home","End of screen time.","Child shouted and threw the tablet on the couch.","Child sat quietly at the table after being reminded of the dinner routine.","yes","End of preferred activity","Frustration with limits","Caregiver set a timer for the next screen time.","How can we create smoother transitions from screen time to other activities?","Establishing a routine can help with transitions.","transition difficulty","low","medium","high","test","yes","draft"
"372","v2","Child became resistant when asked to leave the playground, running away from caregiver.","9-12","school-playground","Ending playtime.","Child sprinted away and climbed a structure.","Child climbed down after several calls and went to the caregiver cautiously.","no","Desire to stay playing","Desire to continue playing","Caregiver calmly explained the need to leave for dinner.","What strategies can I use to help them understand transitions?","Offering choices during transitions can help them feel in control.","transition difficulty","moderate","medium","train","","yes","draft"
