"id","dataset_version","observation_text","age_group","setting","antecedent","behavior","consequence","consequence_present","possible_trigger","emotion_context","caregiver_response","suggested_followup_question","general_support_idea","category","risk_level","difficulty_level","ambiguity_level","split","synthetic_flag","review_status"
"673","v2","During snack time, child noticed the cookies and left their seat immediately.","3-5","home","Snack time started","Child ran to the cookie jar and grabbed a cookie.","No consequence noted","no","Desire for cookies","Excitement","Caregiver reminded child to wait until everyone had snacks.","What other snacks do they enjoy?","Offer choices at snack time to manage excitement.","routine change","low","easy","low","train","yes","draft"
"674","v2","Child was asked to clean up toys before dinner.","6-8","home","Transition to dinner time","Child started putting toys away but then began to play with them instead.","Child finished cleaning up after being reminded twice.","yes","Desire to play","Playfulness","Caregiver encouraged child by saying they can play after dinner.","How can we make cleanup more fun?","Create a game around cleaning up to increase participation.","routine change","low","medium","low","train","yes","draft"
"675","v2","The morning routine changed due to a late start.","9-12","home","Woke up late","Child refused to get dressed and sat on the floor.","Child eventually got dressed after a choice of two outfits was offered.","yes","Change in routine","Frustration","Caregiver provided choices to motivate dressing.","What can we do to prepare for another late start?","Discuss backup plans for mornings.","routine change","low","medium","medium","train","yes","draft"
"676","v2","On a rainy day, outdoor playtime was canceled.","6-8","school-playground","Looking forward to outdoor play","Child began to shout and stomp their feet in frustration.","Child calmed down and joined a board game with friends after some encouragement.","yes","Disappointment","Frustration","Caregiver suggested an alternative activity.","What other indoor activities could they enjoy?","Have a list of indoor games ready.","routine change","low","medium","medium","train","yes","draft"
"677","v2","Child was told to switch from screen time to reading.","3-5","home","Screen time ended","Child threw their tablet on the couch and pouted.","Child settled down to read a book after being offered a choice of titles.","yes","Desire for screen time","Resistance","Caregiver engaged by choosing a fun book together.","What books do they enjoy most?","Incorporate their favorite themes into reading time.","routine change","moderate","medium","high","train","yes","draft"
"678","v2","Lunch was served earlier than usual.","9-12","school-classroom","Early lunch preparation","Child argued about not being hungry yet and pushed their plate away.","Child began to eat after a brief conversation about trying a few bites.","yes","Change in schedule","Discontent","Caregiver encouraged them to try a small portion.","How can we help them adjust to changes in meal times?","Discuss meal planning to align with their needs.","routine change","moderate","medium","train","","yes","draft"
"679","v2","Child was asked to leave the playground after a long time.","6-8","school-playground","End of playtime announcement","Child ran away and tried to climb a tree instead of coming back.","Child climbed down after being reminded of safety rules.","yes","Desire to continue playing","Defiance","Caregiver calmly explained the importance of safety and the need to leave.","What safety measures can we discuss for next time?","Create a clear signal for ending play.","routine change","moderate","medium","validation","","yes","draft"
"680","v2","Child's nap was cut short due to unexpected visitors.","3-5","daycare","Visitors arrived","Child woke up cranky and threw their blanket on the floor.","Child began playing with toys after a soothing talk about the visitors.","yes","Interrupted sleep","Crankiness","Caregiver provided comfort and reassurance about visitors.","How can we help them feel secure during interruptions?","Teach coping strategies for unexpected changes.","routine change","moderate","complex","train","","yes","draft"
"681","v2","Child was asked to tidy their room before bedtime.","9-12","home","Bedtime approach","Child became upset and refused to clean their room, saying it wasn't messy.","Child eventually cleaned after choosing a reward for finishing.","yes","Desire for bedtime","Frustration","Caregiver motivated with a reward system for cleaning up.","How can we make tidying up easier for them?","Consider a reward chart for chores.","routine change","low","medium","medium","train","yes","draft"
"682","v2","The family routine was altered for a family gathering.","6-8","relative-home","Family gathering planned","Child expressed displeasure about missing their favorite show.","Child engaged in group activities after being reassured about watching it later.","yes","Change in schedule","Disappointment","Caregiver discussed the fun they would have with relatives.","What favorite activities can we involve them in during gatherings?","Include child in planning family activities.","routine change","low","medium","medium","train","yes","draft"
