"id","dataset_version","observation_text","age_group","setting","antecedent","behavior","consequence","consequence_present","possible_trigger","emotion_context","caregiver_response","suggested_followup_question","general_support_idea","category","risk_level","difficulty_level","ambiguity_level","split","synthetic_flag","review_status"
"598","v2","Child had trouble staying focused while getting dressed in the morning.","3-5","home","Child was asked to get dressed for school.","Child was playing with toys instead of putting on clothes.","No consequence noted","no","Morning excitement","Playful","Gently reminded child to focus on getting dressed.","How can we make morning routines more fun?","Using a visual schedule for morning tasks can help.","morning routine","low","easy","low","train","yes","draft"
"599","v2","Child was hesitant to leave the house for school.","6-8","home","Child was reminded it was time to leave for school.","Child refused to put on shoes and kept asking for more time.","No consequence noted","no","Not wanting to leave favorite toys behind","Frustrated","Encouraged child to pick a favorite pair of shoes.","What activities can we do to ease transitions?","Offering choices can improve the transition experience.","morning routine","low","medium","medium","train","yes","draft"
"600","v2","Child was distracted by a new toy during breakfast.","6-8","home","Child was sitting at the table for breakfast.","Child kept reaching for the toy instead of eating.","Child eventually finished breakfast after being reminded to eat.","yes","New toy was introduced the night before","Excited","Prompted child to put the toy away until after breakfast.","How can we minimize distractions during meals?","Setting a designated playtime after meals might help.","morning routine","moderate","medium","low","train","yes","draft"
"601","v2","Child wanted to wear mismatched socks to school.","9-12","school-classroom","Child was looking for socks to wear.","Child insisted on wearing socks that didn't match.","No consequence noted","no","Desire for self-expression","amused","Acknowledged child's choice and let them wear the socks.","How can we support their independence in dressing?","Discussing personal style might encourage self-expression appropriately.","morning routine","low","easy","low","train","yes","draft"
"602","v2","Child took longer than expected to finish brushing teeth.","3-5","home","Child was reminded it was time to brush teeth.","Child brushed teeth slowly while playing with the toothbrush.","Child eventually finished but we were late leaving for school.","yes","Feeling playful","Amused","Set a timer for brushing teeth next time.","What strategies can help make hygiene routines quicker?","Using a fun timer can enhance focus and efficiency.","morning routine","moderate","medium","medium","train","yes","draft"
"603","v2","Child got upset when asked to clean up toys before breakfast.","6-8","home","Child was playing with toys in the living room.","Child shouted and knocked over a stack of blocks in frustration.","Child calmed down after caregiver helped clean up.","yes","Transition from play to breakfast","Frustrated","Helped child clean up and offered a choice of breakfast.","What activities can help ease transitions?","Offering a fun clean-up song can help.","morning routine","moderate","medium","medium","train","yes","draft"
"604","v2","Child started running around the house instead of getting ready.","9-12","home","Child was asked to start getting ready for school.","Child decided to chase the family dog instead of dressing.","Child finally got dressed after a few minutes of play.","yes","Excitement about the day ahead","Amused","Redirected child to get ready with a game plan.","What fun routines can we implement to keep them focused?","Incorporating a game into routines could improve engagement.","morning routine","moderate","complex","high","train","yes","draft"
"605","v2","Child refused to put on a jacket when it was cold outside.","6-8","outdoor","Child was reminded to dress warmly.","Child insisted they were not cold and wanted to go outside without a jacket.","Child eventually agreed to wear a jacket after feeling the cold air.","yes","Cool weather was unexpected","Defiant","Compromised by letting child wear a light jacket.","How can we prepare for unexpected weather changes?","Discussing the weather the night before can help prepare them.","morning routine","moderate","medium","high","train","yes","draft"
"606","v2","Child attempted to climb a tree without supervision.","9-12","outdoor","Child was playing outside while caregiver prepared breakfast.","Child began to climb a tree that was too high.","Child was called down safely after being reminded of safety rules.","yes","Desire for adventure","Worried","Discussed safety and set clear boundaries about climbing.","What conversations about safety can we have?","Role-playing safety discussions can be helpful.","morning routine","high","complex","high","train","yes","draft"
"607","v2","Child was playing with their food at breakfast.","3-5","home","Child was served pancakes for breakfast.","Child started making shapes with the food instead of eating.","No consequence noted","no","Curiosity about food","Amused","Encouraged child to make a pancake face before eating.","How can we make mealtime fun?","Creating engaging meal presentations can improve eating behavior.","morning routine","low","easy","low","train","yes","draft"
"608","v2","Child was reluctant to leave the house without a special toy.","6-8","home","Child was asked to get ready for school.","Child insisted on bringing a large toy that wouldn’t fit in their bag.","No consequence noted","no","Attachment to toy","Patient","Suggested taking a smaller toy for comfort instead.","What can we do to ease the attachment to certain toys?","Using a special bag for toys can help manage expectations.","morning routine","low","medium","medium","train","yes","draft"
"609","v2","Child was overly excited and couldn’t sit still during breakfast.","3-5","home","Child was given a favorite breakfast.","Child bounced in their chair and spoke non-stop about the day.","No consequence noted","no","Looking forward to school","Excited","Gently reminded child to sit still while eating.","How can we channel their excitement?","Incorporating calm-down activities before meals could help.","morning routine","low","easy","low","train","yes","draft"
"610","v2","Child struggled to keep shoes on when leaving the house.","9-12","public-store","Child was in a hurry to get to the store.","Child kept taking off shoes and trying to run ahead.","No consequence noted","no","Excitement about the outing","Frustrated","Encouraged child to keep shoes on and walk with me.","What strategies can help with keeping shoes on?","Choosing shoes that fit well can help.","morning routine","low","medium","medium","validation","yes","draft"
