"id","dataset_version","observation_text","age_group","setting","antecedent","behavior","consequence","consequence_present","possible_trigger","emotion_context","caregiver_response","suggested_followup_question","general_support_idea","category","risk_level","difficulty_level","ambiguity_level","split","synthetic_flag","review_status"
"1","v1","My child cried when screen time ended and refused to give back the tablet.","6-8","home","Screen time ended","Cried and refused to give back the tablet","Not clearly mentioned","no","Transition from preferred screen activity","Frustration","Not specified","Was the child given a warning or countdown before screen time ended?","A visual timer or short countdown may help prepare for the transition.","screen-time ending","low","easy","low","train","yes","draft"
"2","v1","My child yelled after I turned off the TV before dinner.","6-8","home","TV was turned off before dinner","Yelled","Not clearly mentioned","no","Stopping a preferred activity","Frustration","Caregiver turned off TV","Was the child told what would happen after TV time?","A first-then reminder may help, such as first dinner, then another preferred activity later.","screen-time ending","low","easy","low","train","yes","draft"
"3","v1","My child threw the remote when the video game time was over.","9-12","home","Video game time was over","Threw the remote","Not clearly mentioned","no","Transition away from video game","Frustration","Not specified","Was there a clear time limit before the game started?","Setting the game time limit before play starts may help reduce surprise.","screen-time ending","moderate","easy","low","train","yes","draft"
"4","v1","My child cried and hid under the blanket when the tablet battery died.","3-5","home","Tablet battery died","Cried and hid under the blanket","Not clearly mentioned","no","Unexpected end of screen activity","Disappointment","Not specified","Was there another calming activity available after the tablet stopped?","Having a simple backup activity ready may help with unexpected changes.","screen-time ending","low","medium","low","train","yes","draft"
"5","v1","My child screamed when I asked for the phone back after a cartoon ended.","3-5","home","Cartoon ended and caregiver asked for the phone back","Screamed","Not clearly mentioned","no","Transition from phone-based activity","Frustration","Caregiver asked for phone back","Was the child prepared before the cartoon ended?","A short warning before the last video ends may help the child prepare.","screen-time ending","low","medium","low","train","yes","draft"
"6","v1","My child refused to leave the couch after tablet time ended.","6-8","home","Tablet time ended","Refused to leave the couch","Not clearly mentioned","no","Stopping preferred screen time","Frustration","Not specified","What activity was expected after tablet time?","A clear next step may help, such as tablet done, then snack or bath.","screen-time ending","low","easy","low","train","yes","draft"
"7","v1","My child cried after I paused the movie and said it was time to brush teeth.","6-8","home","Movie was paused and caregiver said it was time to brush teeth","Cried","Not clearly mentioned","no","Transition from movie to bedtime task","Frustration","Caregiver paused movie","Was toothbrushing shown as the next step before the movie started?","A bedtime routine chart may help show what comes after screen time.","screen-time ending","low","medium","low","train","yes","draft"
"8","v1","My child shouted no when the iPad timer went off.","3-5","home","iPad timer went off","Shouted no","Not clearly mentioned","no","Timer signaled end of screen time","Frustration","Not specified","Did the child understand what the timer meant?","Using the same timer routine each day may help make the ending more predictable.","screen-time ending","low","easy","low","train","yes","draft"
"9","v1","My child pushed my hand away when I reached for the tablet at the end of screen time.","6-8","home","Caregiver reached for the tablet at the end of screen time","Pushed caregiver's hand away","Not clearly mentioned","no","Transition away from tablet","Frustration","Caregiver reached for tablet","Was the child given a chance to close the activity independently?","Offering a choice, such as you close it or I close it, may support cooperation.","screen-time ending","moderate","medium","low","train","yes","draft"
"10","v1","My child cried for several minutes after YouTube was turned off.","6-8","home","YouTube was turned off","Cried for several minutes","Not clearly mentioned","no","Stopping preferred video activity","Frustration","Caregiver turned off YouTube","Was there a calming activity planned after screen time?","A predictable after-screen routine may help the child settle.","screen-time ending","low","easy","low","train","yes","draft"
