"id","dataset_version","observation_text","age_group","setting","antecedent","behavior","consequence","consequence_present","possible_trigger","emotion_context","caregiver_response","suggested_followup_question","general_support_idea","category","risk_level","difficulty_level","ambiguity_level","split","synthetic_flag","review_status"
"423","v2","During dinner, child turned away from the food and said they don't like it.","3-5","home","Meal was served","Child pushed the plate away and started playing with a toy instead.","No consequence noted","no","Unfamiliar food","No clear emotion","Caregiver offered to prepare something else.","What other foods do they enjoy?","Consider involving the child in meal prep to increase interest.","mealtime refusal","low","easy","low","train","yes","draft"
"424","v2","At a family gathering, child refused to sit at the table for lunch.","6-8","relative-home","Everyone started eating","Child stood up and left the table to go play outside.","No consequence noted","no","Loud conversations","Happy and carefree","Caregiver encouraged them to join the family at the table.","How can I encourage them to stay at mealtime?","Try setting a timer for meals to give them a sense of structure.","mealtime refusal","low","medium","medium","train","yes","draft"
"425","v2","While at a restaurant, child pushed their plate away after a few bites.","9-12","public-restaurant","Food arrived","Child said they were not hungry anymore and started looking at a phone.","No consequence noted","no","Long wait for food","Restless","Caregiver suggested sharing a dessert instead.","What do they enjoy eating when we eat out?","Consider letting them choose a dish from the menu next time.","mealtime refusal","low","medium","low","train","yes","draft"
"426","v2","In the classroom, child refused to eat their snack during break.","6-8","school-classroom","Snack time","Child sat quietly, not touching their snack.","No consequence noted","no","Friends were playing","Calm but disengaged","Caregiver asked if they wanted to save it for later.","What do they like to eat during snack?","Explore different snack options with the child.","mealtime refusal","low","easy","medium","train","yes","draft"
"427","v2","While shopping, child refused to eat the snack offered in the store.","6-8","public-store","Grocery shopping","Child said they wanted candy instead.","Child chose a candy and refused the healthy snack.","yes","Seeing candy on the shelf","Excited about candy","Caregiver allowed them to pick one candy.","How can I improve their choices in stores?","Discuss healthy vs. fun snacks before going out.","mealtime refusal","moderate","medium","high","train","yes","draft"
"428","v2","At home, child covered their eyes during dinner and said they didn't want to eat.","3-5","home","Dinner was served","Child started to cry and refused to look at the food.","Caregiver gave them a hug and encouraged them to try a small bite.","yes","New food on the plate","Upset","Caregiver offered a familiar food option.","What familiar foods can I include?","Use favorite foods to introduce new flavors over time.","mealtime refusal","moderate","complex","high","train","yes","draft"
"429","v2","During a picnic, child became upset when they didn't like the sandwiches.","6-8","outdoor","Picnic began","Child threw the sandwich on the ground and said it was gross.","Child refused to eat anything else and wanted to go home.","yes","Sandwich was not their favorite","Frustrated","Caregiver offered to make a different sandwich.","What can I prepare that they will enjoy?","Involve them in selecting picnic foods beforehand.","mealtime refusal","moderate","medium","medium","train","yes","draft"
"430","v2","At daycare, child screamed when it was time for lunch.","3-5","daycare","Transition to lunch","Child pushed their chair back and stood up.","Child calmed down after being offered a choice of fruit or yogurt.","yes","Not wanting to stop playtime","Overwhelmed","Caregiver reminded them it was time to eat.","What can help with transitions?","Create a routine that includes play and meal times.","mealtime refusal","low","medium","high","train","yes","draft"
"431","v2","In the classroom, child refused to eat the lunch packed by their caregiver.","9-12","school-classroom","Lunchtime","Child traded their lunch with a friend.","Child was satisfied with the new lunch but didn't eat their original.","yes","Peer influence","Curious about other foods","Caregiver talked about healthy choices.","What are their favorite foods to pack?","Encourage them to help choose their lunch items.","mealtime refusal","moderate","medium","medium","validation","yes","draft"
"432","v2","While at the park, child ignored the lunch offered and kept playing.","6-8","school-playground","Lunch was ready to eat","Child ran further away from the blanket.","Caregiver called them back and reminded them to eat.","yes","Friends playing nearby","Excited","Caregiver brought food closer to them.","How can I remind them to eat without interrupting play?","Set a specific time for meals during play.","mealtime refusal","low","easy","low","validation","yes","draft"
"433","v2","At the restaurant, child refused to try any of the appetizers.","9-12","public-restaurant","Food was served to the table","Child said they only wanted fries.","Child ate only fries but ignored other options.","yes","Seeing others eat something different","Disinterested","Caregiver encouraged them to taste a little bit of everything.","What can I say to encourage trying new foods?","Talk about shared eating experiences to encourage trying.","mealtime refusal","moderate","medium","medium","validation","yes","draft"
