"id","dataset_version","observation_text","age_group","setting","antecedent","behavior","consequence","consequence_present","possible_trigger","emotion_context","caregiver_response","suggested_followup_question","general_support_idea","category","risk_level","difficulty_level","ambiguity_level","split","synthetic_flag","review_status"
"301","v2","During screen time, child kept asking for more time even after the timer rang.","3-5","home","Child was using the tablet for an episode of a cartoon.","Child stretched out their hand to keep the tablet and said, 'Just five more minutes!'.","Child eventually agreed and turned off the screen after a brief discussion.","yes","Timer going off","Excited about their show ending","Caregiver reminded about the timer and offered to read a book instead.","What activities do you enjoy after screen time?","Transitioning from screen time to other activities","screen-time ending","low","easy","low","train","yes","draft"
"302","v2","After finishing a game, the child started throwing the controller.","6-8","home","Child was playing a competitive video game with a sibling.","Child threw the controller on the couch and shouted, 'I hate losing!'.","Sibling picked up the controller and suggested playing a different game together.","yes","Losing the game","Frustrated about the outcome","Caregiver encouraged teamwork and suggested taking turns.","How do you feel about playing games together?","Handling frustration in play situations","screen-time ending","moderate","medium","medium","train","yes","draft"
"303","v2","When the show ended, the child suddenly jumped up and ran outside.","6-8","public-restaurant","Child was watching a movie on a phone during dinner.","Child shouted, 'It's over!' and dashed towards the door.","Caregiver quickly followed and reminded the child to stay close.","no","Movie ending","Excited to go outside","Caregiver calmly redirected the child back to the table.","What do you want to do after dinner?","Managing transitions in busy places","screen-time ending","moderate","medium","low","train","yes","draft"
"304","v2","Child refused to stop playing a game even after being asked multiple times.","9-12","home","Child had been playing a video game for an hour.","Child kept saying, 'Just one more level!' and ignored the request to stop.","Child paused the game after being offered a snack break.","yes","Repeated requests to stop","Focused on achieving a goal","Caregiver suggested a transition with a reward.","What can we do to make it easier to pause the game?","Encouraging breaks during gaming","screen-time ending","moderate","medium","medium","train","yes","draft"
"305","v2","After the screen time ended, the child started to play with toys instead.","3-5","daycare","Child had been watching cartoons with peers.","Child picked up their blocks and began building a tower.","No consequence noted","ending screen time","Happy to switch activities","Caregiver praised the choice of toys and joined in.","What toys do you want to play with next?","Encouraging play after screen time","screen-time ending","low","easy","low","train","yes","draft",""
"306","v2","The child kept asking to watch another episode after the show ended.","9-12","other-public","Child was watching a series on a mobile device.","Child said, 'Can we watch another one?' and looked at the device hopefully.","Child accepted the answer and engaged with a friend instead.","no","Desire for continuation","Hopeful for more content","Caregiver explained the importance of limits and suggested a fun activity.","What would you like to do instead?","Setting boundaries for screen time","screen-time ending","low","medium","medium","train","yes","draft"
"307","v2","Child climbed on the furniture to reach the tablet after screen time was done.","6-8","home","Child had been watching a show with a family member.","Child stood on the couch trying to grab the tablet from the shelf.","Caregiver safely helped the child down and put the tablet away.","yes","Attempting to reach the device","Determined to keep the tablet","Caregiver discussed safety around furniture and screens.","What can we do to make it safer at home?","Discussing safety during screen time","screen-time ending","high","complex","high","train","yes","draft"
"308","v2","The child began to cry when the video turned off suddenly.","3-5","public-store","Child was watching a short video while waiting in line.","Child exclaimed, 'No! I wanted to see that!' and started to cry.","Caregiver offered a comforting toy and sang a song to distract them.","yes","Unexpected interruption","Upset about the abrupt end","Caregiver comforted the child and offered choices for new activities.","What else can we watch or do?","Finding alternatives during transitions","screen-time ending","moderate","medium","medium","train","yes","draft"
"309","v2","Child refused to hand over the tablet after screen time was completed.","9-12","school-classroom","Child was using the tablet for a group project.","Child said, 'I don't want to stop using it!' and clutched it tightly.","Child complied after a peer asked to use it for classwork.","no","Completion of group work","Stubborn about sharing","Caregiver reminded the importance of sharing and teamwork.","How can we share our tools better?","Encouraging cooperation in shared activities","screen-time ending","low","medium","medium","train","yes","draft"
"310","v2","When asked to turn off the screen, the child started to throw toys.","6-8","school-playground","Child had been watching a fun video during free time.","Child threw toys in frustration and shouted, 'I don’t want to!' when told to stop.","Child finally calmed down and helped clean up after a discussion.","yes","Request to stop watching","Frustrated about ending the fun","Caregiver helped the child express feelings and offered alternatives.","What other fun things can we do outside?","Helping manage emotions during transitions","screen-time ending","moderate","complex","medium","train","yes","draft"
