"id","dataset_version","observation_text","age_group","setting","antecedent","behavior","consequence","consequence_present","possible_trigger","emotion_context","caregiver_response","suggested_followup_question","general_support_idea","category","risk_level","difficulty_level","ambiguity_level","split","synthetic_flag","review_status"
"448","v2","Child was playing with blocks when loud music started playing outside.","3-5","home","Loud music","Child covered ears and started crying.","Child found a quiet spot under the table.","yes","Loud music","Overwhelmed","Caregiver encouraged child to take deep breaths.","What helps when noises are too loud?","Provide quiet spaces for breaks.","sensory overload","low","easy","low","train","yes","draft"
"449","v2","At the store, the bright lights began flashing before they entered.","6-8","public-store","Bright lights","Child squinted and complained about the lights being too bright.","Child asked to leave the store and went to the car.","yes","Bright lights","Annoyed","Caregiver agreed to find a less bright area.","How do they feel about bright lights?","Choose stores with softer lighting.","sensory overload","moderate","medium","medium","train","yes","draft"
"450","v2","During a classroom presentation, a lot of kids began talking loudly.","9-12","school-classroom","Loud talking","Child raised their voice to be heard and looked frustrated.","Child decided to leave the classroom to calm down.","yes","Loud talking","Frustrated","Caregiver suggested they express feelings to a teacher.","How can they handle loud environments?","Encourage open communication about feelings.","sensory overload","moderate","medium","medium","train","yes","draft"
"451","v2","Child was playing outside when a loud truck passed by.","6-8","outdoor","Loud truck","Child jumped and covered their ears.","Child went inside to avoid the noise.","yes","Loud truck","Startled","Caregiver reassured child it was okay to go inside.","What helps when sudden sounds happen?","Practice reacting to sudden loud noises.","sensory overload","low","easy","low","train","yes","draft"
"452","v2","In the daycare, several children began shouting during playtime.","3-5","daycare","Loud shouting","Child yelled back but then became silent and sat down.","Child started drawing quietly at the table.","yes","Loud shouting","Overwhelmed","Caregiver praised child for finding a quieter activity.","What can help when everyone is loud?","Offer quieter activities during busy times.","sensory overload","low","easy","low","train","yes","draft"
"453","v2","At a relative's home, a lot of people were talking at once during dinner.","9-12","relative-home","Many people talking","Child put their hands over their ears and looked around anxiously.","Child excused themselves to the bathroom for a moment.","yes","Many people talking","Anxious","Caregiver later checked in to see how they felt.","What noisy situations are tough for them?","Plan some quiet time during gatherings.","sensory overload","moderate","medium","medium","train","yes","draft"
"454","v2","Child was at the playground when music started playing from a nearby event.","6-8","school-playground","Loud music","Child started jumping up and down, looking confused.","Child chose to go over to a quieter area of the playground.","yes","Loud music","Confused","Caregiver suggested finding a quieter spot together.","How do they feel about music in public places?","Identify quieter play areas beforehand.","sensory overload","low","easy","low","train","yes","draft"
"455","v2","While waiting for food in a restaurant, the kitchen got busy and noisy.","9-12","public-restaurant","Busy kitchen sounds","Child covered their ears and frowned at the noise.","Child asked if they could eat outside.","yes","Busy kitchen","Frustrated","Caregiver agreed to move outside for a quieter meal.","How do they feel in busy restaurants?","Choose quieter dining locations.","sensory overload","moderate","medium","medium","train","yes","draft"
"456","v2","Child was in a crowded public transport when people started moving around.","6-8","public-transport","Crowded space","Child began to shake and looked around worried.","Child clutched caregiver's hand tightly until they reached their stop.","yes","Crowded space","Worried","Caregiver held child close and spoke calmly.","What can help when it feels too crowded?","Practice deep breathing for crowded places.","sensory overload","high","complex","high","validation","yes","draft"
"457","v2","At school, the classroom was buzzing with excitement on field trip day.","9-12","school-classroom","Excited classmates","Child shouted over the noise and looked overwhelmed.","Child decided to sit quietly at their desk and draw.","yes","Excited classmates","Overwhelmed","Caregiver later discussed strategies for handling excitement.","What helps when others are very excited?","Create a plan for busy days.","sensory overload","moderate","medium","medium","train","yes","draft"
